Data Reported,Countries and Territories,Number of Cases,Deaths
04/10/2021,Austria,1532,5
03/10/2021,Austria,2000,7
02/10/2021,Austria,1953,4
01/10/2021,Austria,1997,6
30/09/2021,Austria,2536,14
29/09/2021,Austria,1338,7
28/09/2021,Austria,1267,5
27/09/2021,Austria,1556,6
26/09/2021,Austria,2029,4
25/09/2021,Austria,1803,10
24/09/2021,Austria,1708,9
23/09/2021,Austria,2089,12
22/09/2021,Austria,1242,17
21/09/2021,Austria,1162,7
20/09/2021,Austria,1708,7
19/09/2021,Austria,2072,5
18/09/2021,Austria,2235,9
17/09/2021,Austria,2283,8
16/09/2021,Austria,2638,8
15/09/2021,Austria,1859,7
14/09/2021,Austria,1227,4
13/09/2021,Austria,1891,0
12/09/2021,Austria,2431,5
11/09/2021,Austria,2259,5
10/09/2021,Austria,2157,3
09/09/2021,Austria,2505,6
08/09/2021,Austria,1496,8
07/09/2021,Austria,1342,7
06/09/2021,Austria,1729,5
05/09/2021,Austria,1865,4
04/09/2021,Austria,1733,7
03/09/2021,Austria,1549,3
02/09/2021,Austria,1821,6
01/09/2021,Austria,1265,1
31/08/2021,Austria,1092,2
30/08/2021,Austria,1339,5
29/08/2021,Austria,1408,4
28/08/2021,Austria,1490,2
27/08/2021,Austria,1535,2
26/08/2021,Austria,1618,2
25/08/2021,Austria,1014,3
24/08/2021,Austria,971,2
23/08/2021,Austria,1174,2
22/08/2021,Austria,1309,1
21/08/2021,Austria,1321,2
20/08/2021,Austria,1179,0
19/08/2021,Austria,1293,0
18/08/2021,Austria,864,0
17/08/2021,Austria,715,0
16/08/2021,Austria,871,2
15/08/2021,Austria,997,2
14/08/2021,Austria,967,2
13/08/2021,Austria,879,0
12/08/2021,Austria,894,1
11/08/2021,Austria,584,1
10/08/2021,Austria,343,1
09/08/2021,Austria,587,1
08/08/2021,Austria,673,1
07/08/2021,Austria,553,1
06/08/2021,Austria,485,2
05/08/2021,Austria,597,1
04/08/2021,Austria,376,2
03/08/2021,Austria,332,1
02/08/2021,Austria,444,1
01/08/2021,Austria,593,0
31/07/2021,Austria,517,1
30/07/2021,Austria,495,0
29/07/2021,Austria,528,0
28/07/2021,Austria,404,1
27/07/2021,Austria,291,2
26/07/2021,Austria,323,1
25/07/2021,Austria,368,0
24/07/2021,Austria,406,1
23/07/2021,Austria,463,0
22/07/2021,Austria,400,0
21/07/2021,Austria,306,0
20/07/2021,Austria,248,0
19/07/2021,Austria,325,0
18/07/2021,Austria,466,1
17/07/2021,Austria,328,0
16/07/2021,Austria,310,1
15/07/2021,Austria,268,2
14/07/2021,Austria,283,0
13/07/2021,Austria,87,0
12/07/2021,Austria,156,0
11/07/2021,Austria,25,0
10/07/2021,Austria,117,0
09/07/2021,Austria,130,1
08/07/2021,Austria,111,1
07/07/2021,Austria,90,0
06/07/2021,Austria,45,0
05/07/2021,Austria,73,3
04/07/2021,Austria,145,3
03/07/2021,Austria,163,1
02/07/2021,Austria,55,0
01/07/2021,Austria,36,1
30/06/2021,Austria,100,1
29/06/2021,Austria,75,1
28/06/2021,Austria,67,2
27/06/2021,Austria,129,0
26/06/2021,Austria,115,3
25/06/2021,Austria,101,3
24/06/2021,Austria,121,0
23/06/2021,Austria,108,2
22/06/2021,Austria,118,1
21/06/2021,Austria,109,2
20/06/2021,Austria,149,4
19/06/2021,Austria,132,2
18/06/2021,Austria,171,1
17/06/2021,Austria,181,3
16/06/2021,Austria,-171,2
15/06/2021,Austria,64,3
14/06/2021,Austria,216,4
13/06/2021,Austria,214,3
12/06/2021,Austria,234,0
11/06/2021,Austria,262,4
10/06/2021,Austria,328,4
09/06/2021,Austria,280,4
08/06/2021,Austria,259,5
07/06/2021,Austria,355,4
06/06/2021,Austria,304,2
05/06/2021,Austria,286,4
04/06/2021,Austria,323,6
03/06/2021,Austria,472,6
02/06/2021,Austria,364,4
01/06/2021,Austria,152,5
31/05/2021,Austria,366,5
30/05/2021,Austria,570,8
29/05/2021,Austria,538,6
28/05/2021,Austria,639,9
27/05/2021,Austria,405,6
26/05/2021,Austria,287,5
25/05/2021,Austria,342,9
24/05/2021,Austria,520,7
23/05/2021,Austria,626,10
22/05/2021,Austria,671,6
21/05/2021,Austria,603,2
20/05/2021,Austria,866,12
19/05/2021,Austria,630,8
18/05/2021,Austria,391,9
17/05/2021,Austria,676,12
16/05/2021,Austria,684,6
15/05/2021,Austria,721,11
14/05/2021,Austria,1100,21
13/05/2021,Austria,1179,6
12/05/2021,Austria,968,13
11/05/2021,Austria,670,17
10/05/2021,Austria,1009,9
09/05/2021,Austria,1251,18
08/05/2021,Austria,1383,16
07/05/2021,Austria,1220,14
06/05/2021,Austria,1682,22
05/05/2021,Austria,1297,16
04/05/2021,Austria,888,25
03/05/2021,Austria,1732,24
02/05/2021,Austria,1655,15
01/05/2021,Austria,2231,21
30/04/2021,Austria,1995,27
29/04/2021,Austria,2286,20
28/04/2021,Austria,1557,22
27/04/2021,Austria,1380,16
26/04/2021,Austria,2091,23
25/04/2021,Austria,2231,13
24/04/2021,Austria,2407,27
23/04/2021,Austria,2347,18
22/04/2021,Austria,2377,42
21/04/2021,Austria,2005,21
20/04/2021,Austria,1792,23
19/04/2021,Austria,2159,31
18/04/2021,Austria,2591,28
17/04/2021,Austria,2348,26
16/04/2021,Austria,2561,33
15/04/2021,Austria,2855,29
14/04/2021,Austria,2032,28
13/04/2021,Austria,1770,26
12/04/2021,Austria,2139,26
11/04/2021,Austria,3559,35
10/04/2021,Austria,2432,31
09/04/2021,Austria,3052,36
08/04/2021,Austria,3006,22
07/04/2021,Austria,2077,28
06/04/2021,Austria,2268,39
05/04/2021,Austria,2915,26
04/04/2021,Austria,3693,34
03/04/2021,Austria,3077,30
02/04/2021,Austria,3058,28
01/04/2021,Austria,3107,25
31/03/2021,Austria,2810,31
30/03/2021,Austria,3240,28
29/03/2021,Austria,2667,23
28/03/2021,Austria,3896,25
27/03/2021,Austria,3487,30
26/03/2021,Austria,3516,23
25/03/2021,Austria,3262,18
24/03/2021,Austria,2715,30
23/03/2021,Austria,2306,27
22/03/2021,Austria,2918,20
21/03/2021,Austria,4051,30
20/03/2021,Austria,3304,24
19/03/2021,Austria,3507,32
18/03/2021,Austria,2814,22
17/03/2021,Austria,2487,24
16/03/2021,Austria,1910,25
15/03/2021,Austria,2664,27
14/03/2021,Austria,3325,25
13/03/2021,Austria,3009,25
12/03/2021,Austria,2847,19
11/03/2021,Austria,2847,21
10/03/2021,Austria,2194,18
09/03/2021,Austria,1965,18
08/03/2021,Austria,2281,26
07/03/2021,Austria,2846,18
06/03/2021,Austria,2319,16
05/03/2021,Austria,2691,21
04/03/2021,Austria,2497,17
03/03/2021,Austria,1926,15
02/03/2021,Austria,1148,22
01/03/2021,Austria,456112,8531
04/10/2021,Belgium,0,0
03/10/2021,Belgium,0,0
02/10/2021,Belgium,0,0
01/10/2021,Belgium,0,0
30/09/2021,Belgium,2,2
29/09/2021,Belgium,1088,7
28/09/2021,Belgium,2342,7
27/09/2021,Belgium,2611,13
26/09/2021,Belgium,719,7
25/09/2021,Belgium,1206,7
24/09/2021,Belgium,2239,7
23/09/2021,Belgium,2070,10
22/09/2021,Belgium,2163,11
21/09/2021,Belgium,2220,5
20/09/2021,Belgium,2928,6
19/09/2021,Belgium,649,7
18/09/2021,Belgium,1255,9
17/09/2021,Belgium,2380,5
16/09/2021,Belgium,2420,1
15/09/2021,Belgium,2312,7
14/09/2021,Belgium,2491,8
13/09/2021,Belgium,2914,7
12/09/2021,Belgium,676,7
11/09/2021,Belgium,1300,7
10/09/2021,Belgium,2320,7
09/09/2021,Belgium,2096,6
08/09/2021,Belgium,2180,9
07/09/2021,Belgium,2356,9
06/09/2021,Belgium,2784,7
05/09/2021,Belgium,731,8
04/09/2021,Belgium,1239,10
03/09/2021,Belgium,2151,6
02/09/2021,Belgium,2107,6
01/09/2021,Belgium,2220,7
31/08/2021,Belgium,2355,4
30/08/2021,Belgium,2938,5
29/08/2021,Belgium,832,4
28/08/2021,Belgium,1370,4
27/08/2021,Belgium,2215,5
26/08/2021,Belgium,2182,6
25/08/2021,Belgium,2395,7
24/08/2021,Belgium,2451,6
23/08/2021,Belgium,2653,3
22/08/2021,Belgium,954,7
21/08/2021,Belgium,1281,7
20/08/2021,Belgium,2242,9
19/08/2021,Belgium,2004,9
18/08/2021,Belgium,2258,4
17/08/2021,Belgium,2243,3
16/08/2021,Belgium,2830,4
15/08/2021,Belgium,766,2
14/08/2021,Belgium,1347,4
13/08/2021,Belgium,2269,5
12/08/2021,Belgium,2156,3
11/08/2021,Belgium,1983,2
10/08/2021,Belgium,2214,2
09/08/2021,Belgium,2592,5
08/08/2021,Belgium,922,3
07/08/2021,Belgium,1272,3
06/08/2021,Belgium,2134,3
05/08/2021,Belgium,1834,3
04/08/2021,Belgium,1873,4
03/08/2021,Belgium,1946,5
02/08/2021,Belgium,2244,5
01/08/2021,Belgium,1056,1
31/07/2021,Belgium,1186,3
30/07/2021,Belgium,1797,6
29/07/2021,Belgium,1779,6
28/07/2021,Belgium,1752,1
27/07/2021,Belgium,1599,4
26/07/2021,Belgium,2108,1
25/07/2021,Belgium,783,2
24/07/2021,Belgium,1155,3
23/07/2021,Belgium,1655,2
22/07/2021,Belgium,1912,4
21/07/2021,Belgium,791,3
20/07/2021,Belgium,1956,0
19/07/2021,Belgium,2131,0
18/07/2021,Belgium,839,2
17/07/2021,Belgium,1104,0
16/07/2021,Belgium,1567,2
15/07/2021,Belgium,1390,2
14/07/2021,Belgium,1446,1
13/07/2021,Belgium,1429,0
12/07/2021,Belgium,1764,2
11/07/2021,Belgium,780,0
10/07/2021,Belgium,1004,5
09/07/2021,Belgium,1288,2
08/07/2021,Belgium,1227,2
07/07/2021,Belgium,1171,0
06/07/2021,Belgium,1043,1
05/07/2021,Belgium,997,3
04/07/2021,Belgium,366,2
